estimated_nights_booked,price,minimum_nights,calculated_host_listings_count,estimated_nights_booked_binary,room_type_Hotel room,room_type_Private room,room_type_Shared room,latitude,longitude
69.6,135.0,2,1,1,0.0,0.0,0.0,,
8.64,25000.0,4,1,0,0.0,0.0,0.0,,
69.12,32.0,3,2,1,0.0,1.0,0.0,,
1.44,117.0,2,2,0,0.0,0.0,0.0,,
25.92,850.0,6,5,0,0.0,0.0,0.0,,
99.6,450.0,5,1,1,0.0,0.0,0.0,,
25.92,80.0,1,2,0,0.0,1.0,0.0,,
90.0,200.0,5,1,1,0.0,0.0,0.0,,
987.84,222.0,28,1,1,0.0,0.0,0.0,,
75.36,65.0,2,1,1,0.0,1.0,0.0,,
1036.8000000000002,68.0,30,4,1,0.0,0.0,0.0,,
42.96,43.0,1,2,0,0.0,1.0,0.0,,
41.28,130.0,1,1,0,0.0,0.0,0.0,,
33.599999999999994,286.0,2,1,0,0.0,0.0,0.0,,
78.72,59.0,2,1,1,0.0,1.0,0.0,,
313.2,155.0,5,2,1,0.0,0.0,0.0,,
62.64,49.0,3,31,1,0.0,1.0,0.0,,
97.92,349.0,2,1,1,0.0,0.0,0.0,,
0.72,29.0,1,22,0,0.0,1.0,0.0,,
15.84,228.0,3,1,0,0.0,0.0,0.0,,
14.400000000000002,95.0,6,1,0,0.0,0.0,0.0,,
79.92,55.0,1,1,1,0.0,1.0,0.0,,
2.88,197.0,4,1,0,0.0,0.0,0.0,,
34.56,38.0,2,1,0,0.0,1.0,0.0,,
280.8,95.0,90,1,1,0.0,0.0,0.0,,
32.64,81.0,4,1,0,0.0,1.0,0.0,,
123.12,68.0,3,8,1,0.0,0.0,0.0,,
73.44,125.0,2,2,1,0.0,1.0,0.0,,
18.24,60.0,2,2,0,0.0,1.0,0.0,,
1295.9999999999998,50.0,90,2,1,0.0,0.0,0.0,,
34.08,32.0,1,1,0,0.0,1.0,0.0,,
138.24,165.0,3,1,1,0.0,0.0,0.0,,
29.52,116.0,3,3,0,0.0,1.0,0.0,,
57.60000000000001,125.0,3,1,1,0.0,0.0,0.0,,
3.84,8000.0,2,1,0,0.0,1.0,0.0,,
41.04,85.0,3,1,0,0.0,1.0,0.0,,
20.879999999999995,47.0,3,2,0,0.0,1.0,0.0,,
2890.8,150.0,365,1,1,0.0,0.0,0.0,,
8.16,190.0,1,1,0,0.0,0.0,0.0,,
105.6,350.0,4,1,1,0.0,0.0,0.0,,
23.76,350.0,3,1,0,0.0,0.0,0.0,,
56.64,100.0,2,1,1,0.0,0.0,0.0,,
47.04,36.0,1,1,0,0.0,1.0,0.0,,
258.0,142.0,5,3,1,0.0,1.0,0.0,,
7.200000000000001,110.0,3,1,0,0.0,0.0,0.0,,
127.2,89.0,2,2,1,0.0,0.0,0.0,,
29.28,45.0,2,4,0,0.0,1.0,0.0,,
63.36,51.0,3,31,1,0.0,1.0,0.0,,
80.64000000000001,375.0,3,1,1,0.0,0.0,0.0,,
37.2,150.0,5,1,0,0.0,0.0,0.0,,
8.16,60.0,2,3,0,0.0,1.0,0.0,,
37.44,174.0,2,9,0,0.0,0.0,0.0,,
162.96,60.0,7,3,1,0.0,0.0,0.0,,
4.800000000000001,50.0,1,3,0,0.0,1.0,0.0,,
18.48,392.0,7,1,0,0.0,0.0,0.0,,
122.4,50.0,10,1,1,0.0,1.0,0.0,,
89.28,299.0,4,30,1,0.0,0.0,0.0,,
53.760000000000005,195.0,2,1,1,0.0,0.0,0.0,,
24.48,200.0,6,2,0,0.0,0.0,0.0,,
104.4,60.0,3,1,1,0.0,1.0,0.0,,
30.96,137.0,3,1,0,0.0,0.0,0.0,,
0.48,149.0,2,8,0,0.0,1.0,0.0,,
5.76,96.0,4,1,0,0.0,0.0,0.0,,
16.799999999999997,168.0,2,1,0,0.0,0.0,0.0,,
22.56,149.0,1,4,0,0.0,0.0,0.0,,
5.040000000000001,986.0,3,1,0,0.0,0.0,0.0,,
