id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,estimated_nights_booked
13396482,Condo in London · ★4.89 · 1 bedroom · 1 bed · 1.5 shared baths,76215109,David,,Lewisham,51.47728,-0.02952,Private room,63.0,20,76,2023-05-19,0.94,1,157,2,,451
13455562,Home in Beckenham · ★4.96 · 1 bedroom · 1 bed · 1.5 shared baths,67791881,Alex,,Bromley,51.42,-0.02645,Private room,69.0,3,212,2023-11-27,2.34,3,327,6,,168
13557864,Rental unit in London · ★4.56 · Studio · 1 bed · 0 shared baths,54054404,Helen,,Kensington and Chelsea,51.48071,-0.1872,Private room,53.0,2,337,2023-12-10,3.7,1,153,63,,177
12702650,Rental unit in London · ★4.92 · 2 bedrooms · 2 beds · 1 bath,18238791,Vishnia,,Kensington and Chelsea,51.50949,-0.19551,Entire home/apt,239.0,3,13,2023-12-04,1.95,3,106,13,,140
12725143,Rental unit in London · ★4.99 · 2 bedrooms · 3 beds · 2 baths,3723289,Amir,,Hammersmith and Fulham,51.49195,-0.23615,Entire home/apt,248.0,7,72,2023-11-28,0.79,3,348,22,,132
12925678,Guesthouse in London · ★4.96 · 1 bedroom · 1 bed · 1 private bath,70919881,Ronda,,Westminster,51.5277,-0.18533,Private room,110.0,3,220,2023-12-04,2.49,1,19,35,,179
13183092,Hostel in London · ★4.38 · 1 bedroom · 2 beds · 3 shared baths,63091616,Fabio,,Kensington and Chelsea,51.49252,-0.19111,Private room,95.0,5,92,2023-12-07,1.03,15,195,18,,123
13347820,Home in London · ★4.95 · 1 bedroom · 1 bed · 1 private bath,47168482,Moira,,Wandsworth,51.44787,-0.19023,Private room,65.0,4,108,2023-12-09,1.19,1,188,38,,114
14081587,Condo in Greater London · ★4.89 · 1 bedroom · 1 bed · 1 bath,84650508,Fiaz,,Newham,51.49968,0.03291,Entire home/apt,191.0,3,36,2023-07-23,2.2,1,86,15,,158
14089247,Home in Londra · ★4.58 · 1 bedroom · 2 beds · 2 shared baths,78902919,Jonathan,,Tower Hamlets,51.51421,-0.04382,Private room,71.0,2,250,2023-11-12,2.79,16,68,43,,133
14113845,Rental unit in London · ★4.92 · 2 bedrooms · 2 beds · 2 baths,68805514,Ruby,,Hammersmith and Fulham,51.48977,-0.23162,Entire home/apt,275.0,7,64,2023-11-27,0.72,1,134,8,,120
14193910,Home in London · ★4.24 · 1 bedroom · 2 beds · 2 shared baths,63091616,Fabio,,Kensington and Chelsea,51.49139,-0.19222,Private room,75.0,5,80,2023-11-19,0.91,15,203,20,,109
13534867,Condo in London · ★4.81 · 1 bedroom · 1 bed · 1.5 shared baths,6966278,Samuel,,Tower Hamlets,51.52661,-0.05765,Private room,51.0,28,27,2023-11-17,0.3,2,214,6,,201
14287120,Rental unit in London · ★4.45 · 2 bedrooms · 1 bed · 1 bath,82436841,Max And Billie,,Kensington and Chelsea,51.51018,-0.19486,Entire home/apt,130.0,1,412,2023-12-07,4.62,21,102,59,,110
14511119,Home in London · ★4.98 · 1 bedroom · 1 bed · 2 baths,6965510,Alice,,Brent,51.5554,-0.22883,Private room,40.0,3,301,2023-11-29,3.43,3,268,62,,246
14993945,Rental unit in Greater London · ★4.84 · 1 bedroom · 1 bed · 1 bath,4444165,Ravi,,Southwark,51.50077,-0.0792,Entire home/apt,200.0,7,44,2023-10-17,0.61,1,2,11,,102
15049176,Rental unit in London · ★4.42 · 1 bedroom · 3 beds · 1 bath,83740964,Ali,,Westminster,51.51272,-0.18633,Entire home/apt,140.0,4,84,2023-10-09,0.96,121,62,1,,92
15213390,Rental unit in London · ★4.82 · Studio · 1 bed · 1 bath,96649754,Amir,,Kensington and Chelsea,51.51025,-0.19388,Entire home/apt,100.0,183,11,2023-10-31,0.13,3,124,1,,570
15544357,Rental unit in Kingston upon Thames · ★4.95 · 2 bedrooms · 2 beds · 1 bath,35726991,Cherie,,Kingston upon Thames,51.41183,-0.30734,Entire home/apt,150.0,100,19,2019-12-29,0.28,1,358,0,,672
15996748,Condo in London · ★4.62 · 1 bedroom · 1 bed · 1 shared bath,92601704,Amira & Syed,,Hammersmith and Fulham,51.49006,-0.20629,Private room,46.0,2,390,2023-11-25,4.55,15,250,75,,218
14332552,Condo in Greater London · ★4.83 · 3 bedrooms · 3 beds · 2 baths,42004037,Emmanuel,,Hammersmith and Fulham,51.47984,-0.19635,Entire home/apt,277.0,3,103,2023-11-26,1.63,1,179,38,,117
14786888,"Home in Banstead, England, GB · ★4.87 · 1 bedroom · 1 bed · 1 private bath",92310980,Diana,,Sutton,51.33685,-0.2224,Private room,52.0,1,394,2023-12-03,4.47,1,17,71,,107
15184435,Rental unit in Greater London · ★5.0 · 1 bedroom · 1 bed · 1 bath,11333,MariaElena,,Camden,51.55992861331131,-0.1721910253820499,Entire home/apt,151.0,3,6,2023-11-29,3.67,1,96,6,,264
15318457,Rental unit in London · ★4.66 · 1 bedroom · 2 beds · 1 bath,34805848,Dimitra,,Kensington and Chelsea,51.51129,-0.19959,Entire home/apt,105.0,14,48,2023-11-22,0.55,1,64,9,,184
17125793,Rental unit in London · ★5.0 · 2 bedrooms · 2 beds · 1 bath,4972314,Vito,,Southwark,51.5035,-0.09107,Entire home/apt,349.0,25,16,2023-12-06,0.2,1,327,2,,120
15594798,Rental unit in London · ★4.72 · 1 bedroom · 1 bed · 1 bath,42991771,George,,Camden,51.55703,-0.19498,Entire home/apt,85.0,80,25,2023-08-20,0.29,5,27,5,,556
